TIteration,TBlock,TMessGen,TMessSend,TDisplay,TOA,Essai,TxPower,SF,Bandwith,CodingRate,Taille
2817927.0,2818005.0,2818195,2818279,2902371,0,0,14,0,125,4_5,0
2968948.0,2969028.0,2969283,3180060,3263946,207,0,14,10,125,4_5,1
3330483.0,3330563.0,3333666,3545046,3628920,207,0,14,10,125,4_5,2
3695547.0,3695627.0,3698739,3910050,3993880,207,0,14,10,125,4_5,3
4060415.0,4060495.0,4063603,4275047,4356500,207,0,14,10,125,4_5,4
4420716.0,4420800.0,4423933,4677053,4760911,248,0,14,10,125,4_5,5
4827560.0,4827648.0,4830762,5084051,5167958,248,0,14,10,125,4_5,6
5238121.0,5238199.0,5241375,5491055,5574869,248,0,14,10,125,4_5,7
5641417.0,5641497.0,5644608,5898051,5981958,248,0,14,10,125,4_5,8
6048564.0,6048644.0,6051764,6305053,6388882,248,0,14,10,125,4_5,9
6455446.0,6455526.0,6458631,6752051,6836002,289,0,14,10,125,4_5,10
6902677.0,6902761.0,6905892,7199053,7282954,289,0,14,10,125,4_5,11
7349581.0,7349662.0,7352771,7646051,7730026,289,0,14,10,125,4_5,12
7796701.0,7796781.0,7799914,8093054,8176972,289,0,14,10,125,4_5,13
8243610.0,8243694.0,8246813,8540052,8623977,289,0,14,10,125,4_5,14
8694321.0,8694404.0,8697588,9029055,9112990,330,0,14,10,125,4_5,15
9179591.0,9179672.0,9182792,9518051,9602075,330,0,14,10,125,4_5,16
9668748.0,9668830.0,9671974,10007053,10091034,330,0,14,10,125,4_5,17
10157664.0,10157745.0,10160886,10496051,10580045,330,0,14,10,125,4_5,18
10646729.0,10646812.0,10649960,10985054,11068963,330,0,14,10,125,4_5,19
11135671.0,11135751.0,11138892,11514051,11598065,371,0,14,10,125,4_5,20
11664746.0,11664828.0,11667968,12043053,12127009,371,0,14,10,125,4_5,21
12193709.0,12193797.0,12196940,12572051,12656047,371,0,14,10,125,4_5,22
12726418.0,12726496.0,12729695,13103060,13187015,371,0,14,10,125,4_5,23
13253654.0,13253735.0,13256874,13632051,13716036,371,0,14,10,125,4_5,24
13782727.0,13782811.0,13785958,14203053,14286993,412,0,14,10,125,4_5,25
14353621.0,14353705.0,14356831,14774051,14858083,412,0,14,10,125,4_5,26
14924768.0,14924852.0,14927998,15345053,15428979,412,0,14,10,125,4_5,27
15495659.0,15495739.0,15498882,15916051,16000051,412,0,14,10,125,4_5,28
16066745.0,16066828.0,16069979,16487058,16570990,412,0,14,10,125,4_5,29
16637647.0,16637727.0,16640871,17098051,17182034,453,0,14,10,125,4_5,30
17252300.0,17252378.0,17255584,17711055,17794993,453,0,14,10,125,4_5,31
17861592.0,17861673.0,17864811,18322050,18406029,453,0,14,10,125,4_5,32
18472687.0,18472767.0,18475923,18933053,19017002,453,0,14,10,125,4_5,33
19083708.0,19083792.0,19086944,19544051,19628065,453,0,14,10,125,4_5,34
19694749.0,19694832.0,19697981,20195053,20278974,494,0,14,10,125,4_5,35
20345601.0,20345686.0,20348825,20846051,20930040,494,0,14,10,125,4_5,36
20996724.0,20996812.0,20999965,21497053,21581021,494,0,14,10,125,4_5,37
21651281.0,21651359.0,21654560,22150053,22234029,494,78,14,10,125,4_5,38
22300731.0,22300818.0,22303972,22801054,22884994,494,0,14,10,125,4_5,39
22951652.0,22951732.0,22954880,23494055,23578053,535,0,14,10,125,4_5,40
23644747.0,23644830.0,23647983,24187053,24270977,535,0,14,10,125,4_5,41
24337600.0,24337681.0,24340819,24880051,24964029,535,0,14,10,125,4_5,42
25030705.0,25030786.0,25033942,25573053,25656981,535,0,14,10,125,4_5,43
25723600.0,25723681.0,25726821,26266051,26350045,535,0,14,10,125,4_5,44
26416772.0,26416856.0,26420017,26999053,27083026,576,0,14,10,125,4_5,45
27153340.0,27153418.0,27156621,27734053,27818051,576,0,14,10,125,4_5,46
27884743.0,27884826.0,27887979,28467053,28550974,576,0,14,10,125,4_5,47
28617622.0,28617706.0,28620851,29200051,29284071,576,0,14,10,125,4_5,48
29350779.0,29350872.0,29354023,29933054,30016990,576,0,14,10,125000,4_5,49
30083688.0,30083768.0,30086929,30708051,30792061,617,0,14,10,125,4_5,50
30858750.0,30858832.0,30861996,31483057,31567017,617,0,14,10,125,4_5,51
8695929.0,8696008.0,8696198,8696281,8780385,0,0,14,0,125,4_6,0
8846980.0,8847061.0,8847316,9066054,9149938,216,0,14,10,125,4_6,1
9216481.0,9216561.0,9219664,9439046,9522933,216,0,14,10,125,4_6,2
9589543.0,9589623.0,9592734,9812054,9895878,216,0,14,10,125,4_6,3
9962420.0,9962500.0,9965612,10185047,10266507,216,0,14,10,125,4_6,4
10330705.0,10330786.0,10333918,10603054,10686920,265,0,14,10,125,4_6,5
10753480.0,10753560.0,10756675,11026056,11109993,265,0,14,10,125,4_6,6
11180155.0,11180234.0,11183416,11452055,11535902,265,0,14,10,125,4_6,7
11602481.0,11602561.0,11605674,11875052,11958952,265,0,14,10,125,4_6,8
12025569.0,12025650.0,12028765,12298054,12381933,265,0,14,10,125,4_6,9
12448550.0,12448631.0,12451735,12769052,12853049,314,0,14,10,125,4_6,10
12919783.0,12919881.0,12923007,13240053,13324023,314,0,14,10,125,4_6,11
13390656.0,13390736.0,13393854,13711051,13795055,314,0,14,10,125,4_6,12
13861752.0,13861836.0,13864968,14182054,14266004,314,0,14,10,125,4_6,13
14332576.0,14332660.0,14335772,14653052,14737074,314,0,14,10,125,4_6,14
14807437.0,14807516.0,14810705,15176055,15259964,363,0,14,10,125,4_6,15
15326606.0,15326686.0,15329818,15697051,15781083,363,0,14,10,125,4_6,16
15847754.0,15847838.0,15850988,16218057,16302004,363,0,14,10,125,4_6,17
16368651.0,16368731.0,16371871,16739051,16823051,363,0,14,10,125,4_6,18
16889722.0,16889805.0,16892946,17260054,17343990,363,0,14,10,125,4_6,19
17410637.0,17410718.0,17413845,17829072,17913070,412,0,14,10,125,4_6,20
17979761.0,17979844.0,17982983,18398074,18482040,412,0,14,10,125,4_6,21
18552296.0,18552379.0,18555573,18969053,19053055,412,0,14,10,125,4_6,22
19119845.0,19119935.0,19123074,19540053,19623997,412,0,14,10,125,4_6,23
19690638.0,19690718.0,19693849,20111051,20195067,412,0,14,10,125,4_6,24
20261755.0,20261839.0,20264985,20730053,20813981,461,0,14,10,125,4_6,25
20880680.0,20880764.0,20883902,21349051,21433067,461,0,14,10,125,4_6,26
21499736.0,21499820.0,21502966,21968053,22051999,461,0,14,10,125,4_6,27
22118705.0,22118786.0,22121931,22587051,22671059,461,0,14,10,125,4_6,28
22737796.0,22737885.0,22741021,23206053,23289999,461,0,14,10,125,4_6,29
23360223.0,23360301.0,23363494,23877053,23961026,510,0,14,10,125,4_6,30
24027743.0,24027826.0,24030970,24546053,24630004,510,0,14,10,125,4_6,31
24696666.0,24696746.0,24699888,25215051,25299032,510,0,14,10,125,4_6,32
25365703.0,25365787.0,25368946,25884053,25968004,510,0,14,10,125,4_6,33
26034659.0,26034739.0,26037892,26553056,26637040,510,0,14,10,125,4_6,34
26703737.0,26703820.0,26706968,27270054,27353990,560,0,14,10,125,4_6,35
27420645.0,27420725.0,27423871,27987052,28071069,560,0,14,10,125,4_6,36
28141354.0,28141436.0,28144646,28706055,28790015,560,0,14,10,125,4_6,37
28856645.0,28856726.0,28859874,29423052,29507083,560,0,14,10,125,4_6,38
29573825.0,29573920.0,29577078,30140054,30224004,560,0,14,10,125,4_6,39
30290695.0,30290775.0,30293925,30907051,30991053,609,0,14,10,125,4_6,40
31057744.0,31057828.0,31060979,31674053,31757983,609,0,14,10,125,4_6,41
31824627.0,31824707.0,31827843,32441050,32525032,609,0,14,10,125,4_6,42
32591765.0,32591849.0,32595002,33208053,33291997,609,0,14,10,125,4_6,43
33358610.0,33358691.0,33361838,33975051,34059067,609,0,14,10,125,4_6,44
34129470.0,34129549.0,34132759,34792060,34876008,658,0,14,10,125,4_6,45
34942641.0,34942721.0,34945871,35607051,35691042,658,0,14,10,125,4_6,46
