TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2527931;2528009;2528197;2528280;2612377;0;0;14;0;250;4_6;0
2678967;2679048;2679311;2696058;2779912;14;0;14;7;250;4_6;1
2846442;2846522;2849630;2871055;2954924;17;0;14;7;250;4_6;2
3021519;3021599;3024713;3046058;3130347;17;0;14;7;250;4_6;3
3196893;3196973;3200080;3221056;3302538;17;0;14;7;250;4_6;4
3366711;3366791;3369925;3391052;3474898;17;0;14;7;250;4_6;5
3541505;3541585;3544710;3568055;3651973;20;0;14;7;250;4_6;6
3722191;3722269;3725451;3747059;3830918;20;0;14;7;250;4_6;7
3897481;3897562;3900674;3924056;4007970;20;0;14;7;250;4_6;8
4074649;4074729;4077847;4105057;4188877;23;0;14;7;250;4_6;9
4255439;4255519;4258628;4286056;4369988;23;0;14;7;250;4_6;10
4436660;4436740;4439877;4467058;4550950;23;0;14;7;250;4_6;11
4617585;4617673;4620787;4648050;4731997;23;0;14;7;250;4_6;12
4798655;4798736;4801858;4833057;4916935;26;0;14;7;250;4_6;13
4983520;4983602;4986720;5018055;5102123;26;0;14;7;250;4_6;14
5168818;5168911;5172031;5203058;5286996;26;0;14;7;250;4_6;15
5357297;5357376;5360560;5392057;5476014;29;0;14;7;250;4_6;16
5542751;5542834;5545976;5579058;5662954;29;0;14;7;250;4_6;17
5729633;5729713;5732847;5766055;5850006;29;0;14;7;250;4_6;18
5916690;5916770;5919920;5953052;6036973;29;0;14;7;250;4_6;19
6103667;6103748;6106892;6144055;6228025;32;0;14;7;250;4_6;20
6294738;6294822;6297967;6335057;6418942;32;0;14;7;250;4_6;21
6485564;6485649;6488774;6526056;6610033;32;0;14;7;250;4_6;22
6676716;6676801;6679950;6719057;6802999;35;0;14;7;250;4_6;23
6873304;6873382;6876568;6916058;7000038;35;0;14;7;250;4_6;24
7066788;7066881;7070013;7109058;7192935;35;0;14;7;250;4_6;25
7259548;7259629;7262753;7302050;7386032;35;0;14;7;250;4_6;26
7452742;7452830;7455976;7499057;7582970;39;0;14;7;250;4_6;27
7649577;7649657;7652782;7696055;7780019;39;0;14;7;250;4_6;28
7846774;7846857;7850011;7893057;7976946;39;0;14;7;250;4_6;29
8043596;8043680;8046819;8092055;8176006;42;0;14;7;250;4_6;30
8242664;8242744;8245898;8291058;8374957;42;0;14;7;250;4_6;31
8441572;8441653;8444789;8490056;8574073;42;0;14;7;250;4_6;32
8644413;8644491;8647694;8691054;8774939;42;0;14;7;250;4_6;33
8841576;8841657;8844792;8894055;8978027;45;0;14;7;250;4_6;34
9044700;9044780;9047935;9097061;9180985;45;0;14;7;250;4_6;35
9247609;9247690;9250829;9300055;9384012;45;0;14;7;250;4_6;36
9450714;9450795;9453952;9505057;9588948;48;0;14;7;250;4_6;37
9655554;9655642;9658787;9710056;9794037;48;0;14;7;250;4_6;38
9860735;9860818;9863970;9915058;9998957;48;0;14;7;250;4_6;39
10065668;10065748;10068906;10120050;10204040;48;0;14;7;250;4_6;40
10274428;10274506;10277718;10331063;10414978;51;0;14;7;250;4_6;41
10481602;10481686;10484827;10540055;10624027;51;0;14;7;250;4_6;42
10690691;10690771;10693931;10749058;10832975;51;0;14;7;250;4_6;43
10899630;10899710;10902856;10960055;11044059;54;0;14;7;250;4_6;44
11110818;11110907;11114057;11171058;11254957;54;0;14;7;250;4_6;45
11321644;11321724;11324886;11382056;11466023;54;0;14;7;250;4_6;46
11532739;11532824;11535976;11593052;11676973;54;0;14;7;250;4_6;47
11743602;11743682;11746825;11808055;11892030;57;0;14;7;250;4_6;48
11962374;11962452;11965661;12025059;12109055;57;0;14;7;250;4_6;49
12175717;12175805;12178955;12240056;12324025;57;0;14;7;250;4_6;50
12390691;12390771;12393969;12457057;12540978;60;0;14;7;250;4_6;51
12607633;12607713;12610862;12674056;12758052;60;0;14;7;250;4_6;52
12824768;12824851;12828008;12891058;12974968;60;0;14;7;250;4_6;53
13041604;13041684;13044833;13108050;13192033;60;0;14;7;250;4_6;54
13258723;13258805;13261972;13329057;13413016;63;0;14;7;250;4_6;55
13479614;13479694;13482882;13550055;13634010;63;0;14;7;250;4_6;56
13704393;13704472;13707699;13773060;13857012;63;0;14;7;250;4_6;57
13923691;13923771;13926931;13998055;14082100;66;0;14;7;250;4_6;58
14148781;14148876;14152027;14223058;14306973;66;0;14;7;250;4_6;59
14373577;14373665;14376815;14448055;14532023;66;0;14;7;250;4_6;60
14598774;14598862;14602029;14673052;14756994;66;0;14;7;250;4_6;61
14823641;14823721;14826877;14900055;14984081;69;0;14;7;250;4_6;62
15050780;15050873;15054033;15127057;15210998;69;0;14;7;250;4_6;63
15281202;15281280;15284509;15358058;15442035;69;0;14;7;250;4_6;64
15508719;15508803;15511970;15589057;15672967;72;0;14;7;250;4_6;65
15739595;15739676;15742835;15820056;15904059;72;0;14;7;250;4_6;66
15970728;15970812;15973974;16051058;16135016;72;0;14;7;250;4_6;67
16201691;16201771;16204948;16282050;16366052;72;0;14;7;250;4_6;68
16432775;16432859;16436033;16515061;16598988;75;0;14;7;250;4_6;69
16665628;16665708;16668875;16748055;16832035;75;0;14;7;250;4_6;70
16898705;16898785;16901952;16981058;17065073;75;0;14;7;250;4_6;71
17135313;17135395;17138615;17220057;17304048;78;0;14;7;250;4_6;72
17370716;17370796;17373972;17457058;17540948;78;0;14;7;250;4_6;73
